,書名,類別,字數,大綱,狀態,評分
2073,物語系列 Off Season,校園 奇幻 青春 戀愛 後宮 人外,49.3萬,物語系列第四季內容，前接《續·終物語》，包含《愚物語》、《業物語》、《撫物語》、《結物語》四卷內容。 PS.同系列作品請...,完結,10
2074,高一就是異世界的城主,穿越 奇幻 龍傲天 後宮 人外,61.7萬,通過古舊地圖的力量召喚到異世界的高中一年生清川大翔，被傲慢的領主，命令治退威脅著城市的吸血鬼來作為生活於此的支付，在...,連載,9.4
2075,我家有個地下城,奇幻 歡樂向 冒險 ,12.3萬,從某個時期開始世界上出現了大量的地下城，結果讓整個世界充斥了魔物與魔法。 這樣非日常的景象已然成了現代社會日常生活的...,連載,10
2076,金屬球棒少女,懸疑 犯罪 黑暗 戀愛,6.8萬,5月中的酷熱的一天，在車站遇見了一個世界上第一可愛的少女。在第二天，起床的時候發現家人都被殺死了。父親，媽媽，哥哥，妹...,完結,9.5
2077,聆聽陌生電影的原聲帶,青春 戀愛 女性視角,14.3萬,這是戀愛？還是贖罪？壓倒性的戀愛小說。 錦戶枇杷，23歲，待業中。夜夜踩者廁所拖鞋尋找「小偷」。她被偷走的東西，是如公...,完結,10
2078,Steins；Gate命運石の門(官方外...,科幻 懸疑 戀愛 後宮 青梅竹馬,33.9萬,2010年11月。B世界線。這是岡部倫太郎，在7月28日沒有救出牧瀨紅莉棲，就這樣回去了之後的故事。 倫太郎將對紅莉棲的思念和...,完結,10
2079,藤宮十貴子系列,校園 奇幻 歡樂向 戀愛,19.8萬,"「今天開始我就是你的狗，以後請多多關照,你這個混球」 眼前的美少女擺著一張生氣的臉向我宣言。 那天，由於笨手笨腳而輕易...",連載,9.1
2080,新娘戀曲,戀愛 女性視角,31.1萬,布蘭納帝國的公主艾琳娜突然被告知即將要結婚。據說對方是鄰國法斯堤瑪的年輕國王阿爾法迪盧。年滿十五歲的艾琳娜對政治聯姻...,連載,9.7
2081,驅魔少年,奇幻 冒險 戰鬥,20.3萬,他們是黑色教團的黑暗聖職者、擁有異能感的驅魔師，在很久很久以前，千年伯爵曾經想霸佔地球，但，有人用神的力量消滅千年伯...,完結,9.7
2082,艦隊Collection 陽炎，起錨！,科幻 戰鬥 冒險 ,77.8萬,艦娘陽炎到任橫須賀鎮守府。作為陽炎級的命名船，她本想鼓起幹勁發奮訓練，卻怎麼也無法如意。其實，與她一同組成艦隊的潮、...,完結,9.6
2083,怪物獵人2G 靈魂繼承者,奇幻 冒險 戰鬥,61.2萬,以成為一名優秀怪物獵人為目標的青年片手劍獵人基奧與拍檔女性弓手埃迪卡、大劍戰士羅西、以及徒弟長槍手米莫莉組成四人小隊...,完結,9.7
2084,華氏9999,科幻 間諜 戰鬥 後宮 青梅竹馬,23萬,動畫、漫畫、遊戲、輕小說、公仔模型——在這個時代里全部成為管制項目。在警視廳新設之「御宅族取締機構」焚書課里。高中生搜...,完結,10
2085,怪物獵人,奇幻 冒險 戰鬥,34.7萬,年輕氣盛的少年‧吉格，憑著在村莊時累積的些許經驗就不知天高地厚地自以為是個能獨當一面的老練獵人。某天，吉格離開了他生長...,完結,9.9
2086,16:00的召喚魔法,穿越 魔法 戰鬥 後宮 青梅竹馬,16.2萬,患有輕度中二病的弘樹。某日，他的手機收到一封陌生的簡訊。 ——求求你！救救我們。 那是宛如玩笑一般，來自異世界的召喚魔...,完結,10
2087,天使養成法則,校園 奇幻 歡樂向 後宮 人外,51.8萬,某個下雨的星期六，超我行我素高中生神月光正在床上看著漫畫，突然一名天使在他面前出現了！！ 「天使啊……也不是不存在嘛。...,完結,9.7
2088,狗牙滅絕の刃,校園 奇幻 冒險 戰鬥 戀愛,31.9萬,水手服的腰上插著日本刀，腳穿草鞋足袋。異樣的漂亮的美少女靜靜的尋找著。 「我在做什麼，看得見嗎？」 駿在少女的刀刃和...,完結,10
2089,悲傷的奇美拉,奇幻 戰鬥 戀愛 黑暗 青梅竹馬,36.8萬,電梯停止了。被關起來矢代純以及其他三個男女——十文字誠、水藤深矢、早瀨綾佳，他們在這狹小的箱子里，被異型們襲擊了。 自...,連載,10
2090,宙士諾德,科幻 校園 後宮 青梅竹馬 人外,34.7萬,這是一個魔法與科學並存的不可思議世界！ 只有勤奮和運動神經可取的少年諾德，對青梅竹馬、擁有魔法陣師頭銜的蕾碧亞抱有戀...,完結,10
2091,暮蟬悲鳴の時,校園 懸疑 犯罪 驚悚 黑暗 獵奇,108.2萬,昭和五十八年。 流傳在悠閑的雛見澤村的神秘祭典「綿流祭」，潛藏其中千萬不可冒犯的禁忌遭到觸犯之時，轉學生前原圭一的「...,完結,9.8
2092,大小姐X執事,校園 歡樂向 後宮 大小姐 青梅竹馬,131.7萬,日野秋晴是個外表看起來完全就像個不良少年、一臉兇惡的高中生，然而他即將入學的學校居然是比起成績更要求家世的前超級貴族...,完結,9.4
2093,戀♡超能力,校園 異能 戰鬥 歡樂向 後宮,41萬,我的名字是佐佐木與四郎。是一個一點也不奇怪的高中生……說一點也不奇怪是騙人的。其實我能使用超能力。每天每夜，我都同夥伴...,完結,9.9
2094,BOY MEETS HEART！她的旗子久攻...,校園 異能 戰鬥 後宮 青梅竹馬,21.4萬,如果預知能力者與透視能力者產生糾紛，想要一決勝負時──該怎麼辦呢？ 超能力者所居住的砂據市，是座利用賽跑、抽鬼等一般項...,完結,10
2095,百萬王冠,科幻 戰鬥 冒險,27.1萬,新曆三○七年，時值人類衰微的時代。 東京開拓部隊的茅原那姬遇見了在支配這星球的環境控制塔里被找到的青年，東雲一真。 結...,連載,9.9
2096,Campione 弒神者！,校園 異能 戰鬥 後宮 大小姐,309.2萬,草薙護堂，他是一位弒神之人。 弒神之人能夠篡奪神的權能。而擁有那種力量的王者，我們稱他們為「Campione—弒神者—」，同時...,完結,9.8
2097,臨界殺機,犯罪 懸疑 驚悚 獵奇 黑暗,67.7萬,聚集了殺人與凌虐愛好者的地下網站管理者·月森高中二年級的摩彌京也，在一個偶然的情況下，於網路上遇到了目前喧騰一時的連續...,完結,9.7
2098,熱情X冷顫,校園 歡樂向 後宮 ,51.9萬,明明外表是個可愛男生， 御影美千緒卻因為女性過敏症而無法碰到女孩子!? 為了克服過敏症，美千緒決定讓自己從高中開始由男...,完結,9.6
2099,R.O.D,懸疑 異能 戰鬥 冒險,83.1萬,在東京御台場某個杳無人跡的超高大廈內。 從香港造訪的吳姓男子，正準備進行稀有書籍「黑色童話集」的買賣。 收購對象是一...,連載,10
2100,Tales of Destiny 命運傳奇 命...,奇幻 冒險 戰鬥 戀愛,20萬,為了要打出自己的一片天地，青年劍士斯坦·艾爾隆，離開偏僻的鄉村利尼出外旅行。 斯坦偷渡到航向大國塞伊卡魯特之飛行龍上，...,完結,9.9
2101,蒼穹女武神,奇幻 戰鬥 機戰 歡樂向 ,81.3萬,在蒼穹園上空兩千公尺處，鋪著毛毯般層積雲的廣闊藍天里，出現了名為空獸的不純物，此時只見一個騎影為了驅逐它而飛向天際。...,完結,9.7
2102,便當,校園 美食 戰鬥 歡樂向 後宮,253.2萬,某天，有個名叫佐藤洋的貧窮高中生走進超市，看到了半價出售的便當，就在他伸手準備拿取之際，卻頓時被有如風暴般的「某種東...,完結,10
2103,Fortune Arterial 命運脈動,校園 奇幻 後宮 人外 大小姐 青梅竹馬,40.8萬,支倉孝平被迫作出重大抉擇。一轉學到這修智館學院，就被拉進學生會。雖說能加入手握重權的學生會是很幸運沒錯，重點是副會長...,完結,10
2104,女神異聞錄3,校園 異能 戰鬥 後宮,38.8萬,霹哩一聲，龜裂迸走於那張藍黑色的面具上。戴著面具的黑色暗影打算要逃走。暗影。那是非人的妖異之物。 在它身上，並沒有可...,完結,9.9
2105,這樣算是殭屍嗎,校園 奇幻 戰鬥 歡樂向 後宮 ,194.4萬,平凡的高中生相川步，在莫名其妙的因緣下被捲入震驚社會的連環殺人案身亡，但他竟然死而復生了。原來在事件發生之前與步偶然...,完結,9.9
2106,渚的最強音,校園 青春 戀愛,9.5萬,山之上大地是個特別喜歡UMA（未確認生物）的有點奇怪的高中一年生。 今天，他也因為奇異生物的謠言夜探學校。 但是，大地在...,連載,9.9
2107,蘿球社！,校園 競技 青春 歡樂向 後宮,192.4萬,在進入高中同時，長谷川昴就因為社長與小女生交往而無法進行社團活動。明明與小學生相關的話題就已經是禁忌了，為什麼自己卻...,完結,9.9
2108,9S,科幻 冒險 戰鬥 戀愛,197.3萬,下落不明的瘋狂科學家峰島勇次郎，在全世界留下了大量的驚人發明，這些發明被稱為「遺產」。覬覦「遺產」的國家或組織，讓聯...,連載,9.7
2109,二線級Love Story,校園 青春 戀愛,10.9萬,心意是單向的。 高中二年生松尾家之助，與擔任學生會長的摯友，完美超人一之瀨秋，及傾慕的同班同學，書記月本紗姬同屬於學...,完結,9.2
2110,吉永家的石像怪,奇幻 歡樂向 人外,137.5萬,御色町是一個平凡又和平的小鎮，這裡住著一個特別的家族吉永家。有一天吉永家的長女吉永雙葉抽中商店街的獎品。那個獎品就是...,完結,9.9
2111,星圖詠的理娜,奇幻 戰鬥 冒險 旅行 戀愛,46.6萬,「我要將我走過的道路與看見的東西描繪下來。這就是我的地圖。」 聰慧又年輕的公主「理娜」與負責保護她的騎士們，奉理娜的...,完結,9.6
2112,BLACK BLOOD BROTHERS 黑血兄弟,奇幻 懸疑 犯罪 戰鬥 人外,202.4萬,四月當空。 如疾風一般穿梭的赤紅身影沐浴在月光下。他手持一把日本刀，不斷從一棟大樓跳躍至另一棟。 次郎縱身飛奔，為了...,完結,10
2113,玉高社交舞社歡迎您,校園 競技 青春 戀愛 後宮,9.9萬,遭受食物誘惑而被拐進「社交舞社」的雪也，在三名個性十足的女社員啟蒙下，逐漸深陷社交舞的樂趣當中——！ 不過好巧不巧，為...,完結,9.9
2114,人類衰退の後,科幻 末日 女性視角,110.1萬,我們人類迎接緩慢的衰退，已經過了好幾個世紀。如今地球已經屬於「妖精」的了。 我身為國際公務員「調停官」的工作，就是負...,完結,9.8
2115,ROBOTICS；NOTES 機器人筆記：...,科幻 人外 女性視角,9.8萬,2009年的夏天，在觀測到日蝕的那一天，住在種子島的初中三年級學生瀨乃宮美紗希撿到了當時少見的攜帶設備（智能手機）。並在...,完結,10
2116,封神演戲,穿越 戰鬥 歡樂向 後宮,37.9萬,仙人太公望，是個不斷請帶薪假，成天在家裡打電動的尼特族。某天，崑崙為了導正歷史，將太公望派遣至「殷」，並命他消滅妖狐...,完結,10
2117,日常生活中的異能戰鬥,異能 戰鬥 歡樂向 後宮 青梅竹馬,129.1萬,包括我在內的文藝社五人，在半年前覺醒了相當不得了的力量。 於是我們涉足了波瀾壯闊學園異能戰鬥的世界──才怪！「什麼事都...,完結,9.9
2118,讀者與主人公以及兩人的今後,校園 青春 戀愛,8.8萬,——所以，我的初戀是在終章之後開始的。 有這本小說的話，其他都不需要。這本小說《十四歲》中栩栩如生的主人公時子（トキコ...,連載,9.9
2119,境界迷宮與異界魔術師,穿越 戰鬥 冒險 龍傲天 後宮,50.3萬,身為貴族庶子、常受到其他兄弟欺凌的堤歐德魯‧賈特拿被推進水渠里瀕死之際，意外取回了『前世記憶』。 在記憶當中，過去的自...,連載,9.6
2120,千の魔劍與盾の少女,奇幻 戰鬥 冒險 後宮,212.4萬,這是人類的黑暗世紀。富庶豐饒的大陸被魔物佔據，人類被迫遷居至漂浮海上的都市以及其他的小島苟延殘喘。年輕的勇者雖然犧牲...,完結,9.8
2121,因為被捲入賭命遊戲，所以順勢...,鬥智 懸疑 遊戲 大逃殺 黑暗,25.2萬,新井和馬清醒後，發現自己到了一個陌生的空間。 憑空現身的『無名』表示，他必需和所有師生進行一場爭奪生存機會的遊戲。 ...,完結,9.7
2122,她們做菜難吃的100個理由,校園 歡樂向 後宮 青梅竹馬 ,49萬,來自殘念系女角的?便當，每一口都是甜～蜜負擔。 苦瓜披薩、油膩膩番薯、鬼椒級炒麵，要選哪一道？Σ(???；) 愛內葉介目前的...,連載,10
2123,未來／咖啡，她的戀♡,歡樂向 戀愛 青梅竹馬 女兒,17.3萬,「父親，您看我的眼神很不純潔哦」某一天，高中生湊遼太郎回到家裡，卻發現了一個完全不認識的女孩子。這個名叫雪音（沒有胸...,連載,10
2124,MUV-LUV Schwarzes marken,科幻 戰爭 機戰 後宮 ,130.7萬,原作AGE+人設CARNELIAN+劇本內田弘樹 由豪華陣容打造的<<MUV-LUVALTERNATIVE>>系列新故事. 巨彈連載開始! 故事將從2001年起回溯...,完結,9.7
2125,轉生奇譚,穿越 魔法 龍傲天 後宮 人外,27.3萬,山田隆司參加登山社的合宿時在雪山中遇難了，等他清醒後，卻發現自己身處在陌生的森林裡。困惑的他為了掌握狀況環顧四周，發...,連載,9.7
2126,True Tears 真實の淚,校園 青春 戀愛 青梅竹馬,14.9萬,這是「真實之淚」的故事。 富山縣門前町代代相傳的釀酒世家的獨子——仲上真一郎，是一名夢想成為連環畫作家的高中生。他和熱...,完結,10
2127,龍王的工作！（漫畫）,競技 青春 戀愛 後宮 青梅竹馬,0萬,打開玄關門，有個JS在――「依照約定，來當弟子了！」 小學三年生雛鶴愛。9歳。不請自來，到了16歳成為將棋界的最強頭銜保持者...,連載,9.7
2128,紅龍,奇幻 戰爭,63.7萬,多納提亞和黃爛是爭奪世界霸權的兩個超級大國，在這兩個大國的夾縫中，存在著一個神秘的島國，尼爾·卡姆。 在這個島國的守護...,完結,9.8
2129,無頭騎士異聞錄DuRaRaRa!!,犯罪 黑暗 冒險 戰鬥 群像,239萬,「我最喜歡人了。你問我喜歡誰？不對，不是那種意思！我喜歡這世上所有的人類！ 喜歡哪一點？別問我這麼庸俗的問題！是全部...,完結,9.9
2130,魔法使與我,旅行 冒險 戀愛,13.2萬,一名少年被奪走了故鄉及同袍，一名少女在旅途中失去所有行李橫倒路旁。 加魯爾與艾露希。兩人在持續貪婪開疆拓土的「帝國」...,連載,8.9
2131,劍神的繼承者,校園 戰鬥 冒險 後宮 青梅竹馬,146.2萬,東京蘇迪亞——那裡是由擅長劍技，戀上劍的種族「蘇迪人」所支配的城市。少年庫羅身為一介平凡人類，卻跟隨著劍術達人·劍聖冰華...,完結,9.9
